1153530-state-of-louisiana-contract-with-city-of-new,"lion Two Hundred Seventy Five Thousand andno/l00 ($52,275,000) Dollars (the ?Grant Funds?), for the pu",f
204998-4-13-09-lee-ledbetter-and-associates-apc-nopd,"ed Thermography Report Total Amendment$ 212,080.00$1,736.2518,528.00 8,388.00 $ 5,187.50 $ 245,919.75$",f
1157558-urs-corporation-contract-with-city-of-new," limitation for Basic Program Management Services $28,374.00from $368,571.00 to $396,945.00; andWHEREA",f
1157558-urs-corporation-contract-with-city-of-new,"ion services for segments IV and for a ?xed feeof $50,363.96 with a maximum lirnitatio-n of $420,609.3",f
204964-5-1-08-scnz-architects-wesley-barrow-stadium,"ough the competitive selection process _ _ is for $15,000 or less and therefore exempt _ _ has been de",f
779247-02-18-13-frontier-airlines-airport-lease-agreement,"mmencement of any improvements totaling more than $50,000, in areasaccessible to the public, NOAB shal",f
1153748-argus-architecture-engineering-llc-contract-with,"Liability Insurance shall have a minimum limit of $500,000 per accident. In the caseof sublet, DESIGNE",f
205241-10-31-09-all-south-consulting-engineers,"neral1iability insurance in amounts not less than $1,000,000 per occurrence. ARTICLE XII NOTICE Sectio",f
166446-5-21-09-jahncke-and-burns-architects-llc-touro,"e will be purchased and maintained with limits of $1,000,000 per occurrence and $2,000,000 in the aggr",f
1155407-phoenix-global-engineering-and-construction-inc,"and increase the lump sum budget in the amount of $55,832.WHEREAS, the City entered into an Amendment ",t
1155551-msf-global-solutions-llc-contract-with-city-of,"The rnaximlnn sum payable under this Amendment is $903,000. This is a price protection   contract and ",t
328074-01-25-12-hms-architects-cemeteries,"dment New Agreement Sum including this Amendment$ $9,500.00 9,500.00$221,311.00 $ 00.00 $221,311.00 $ ",f
166261-5-8-09-three-fold-consultants-llc-village-de,"Liability Insurance shall have a minimum limit of $500,000. In the case of sublet, Designer shall requ",t
1155552-n-r-peace-contract-with-city-of-new-orleans-this,"ion, to decrease the total compensationpayable by $23,457.00 (Twenty three thousand, four hundred ?ity",f
1032014-department-of-transportation-amp-development,oo ofi BEQHOQ Eflwze won #83. mo memo: Emhomhcofi $8 dmammxa E50 m: mommomm23. fiouofimzoo 52. 95: muE,f
204968-5-1-08-beveridge-amp-diamond-legal-services,"th, doagree to the following amendment: 1. To add $200,000 to the original agreement dated May 1, 2008",f
326374-11-11-11-verges-rome-architects-parks-and,"able for a delay penalty of five hundred dollars ($500) per calendar day for late submissions, deducti",f
326374-11-11-11-verges-rome-architects-parks-and,"E THOUSAND, ONE HUNDRED FORTY AND 00/100 DQLLARS ($2,373,140). (2) Anything herein to the contrary not",f
1055775-richard-c-lambert-consultants-llc-contract-with,Maximum Hourly Rate Maximum HoursProject Engineer $185.00 10/weekAssistant Project Engineer $105.00 0/,f
1154678-three-fold-consultants-llc-contract-with-city-of,"ce will be purchased and maintained with limits of$1,000,000 per occurrence and $2,000,000 in the aggr",f
204835-9-1-08-annunciation-interactive-llp-website-design,"ractive, LLP CONTRACTOR0830856REQUISITION #/ ID # $12,000 AMOUNTProvide website design and development",f
1660107-arbor-e-amp-t-rescare-to-operate-and-manage-job1," to the  as;amended, by ONE AME) FIVE AND NCEHOG ($1,903,905) ?701\"" the WEEK Admit, Di$lmat?d Worker:",f
1158869-the-harry-thompson-center-inc-contract-with-city,"ON IX - AUDIT COMPLIANCEOrganizations that expend $500,000 or more of federal funds in the organizatio",f
1159076-trapolin-architects-apc-contract-with-city-of,"ce will be purchased and maintained with limits of$1,000,000 per occurrence and $2,000,000 in the aggr",f
165315-1-1-11-retif-oil-bulk-gasoline-diesel-fuel,", 2. The maximum sum payable under this Amendment $5,100,000.00. 3. The parties to this agreement reaf",f
1157519-eustis-engineering-services-llc-contract-with,"roperty DamageComprehensiveProfessional Liability $500,000 LimitThese insurance policies maintained by",f
1153512-pascal-architects-llc-contract-with-city-of-new,"AL SECURITY NUMBERPascal Architects, LLCCONTRACTOR$279,291.00AMOUNTMosquito Control Administration Bui",f
1153512-pascal-architects-llc-contract-with-city-of-new,"n through the competitive selection processis for $15,000 or less and therefore exempthas been dec1are",f
1155651-kara-williams-contract-with-city-of-new-orleans,"r 154 of the New Orleans City Code at the rate of $45.00 per hour, not to exceed$38,000.00; andWHEREAS",t
165475-2-1-10-linfield-hunter-amp-junius-emd-central,"or the preliminary estimated construction cost of $3,600,000.00 (THREE MILLION SIX HUNDRED THOUSAND) D",f
1159125-priority-health-care-inc-contract-with-city-of,"ervice in the12 amount not to exceed a maximum of $249,409.00 (Two hundred, forty nine thousand four13",f
165763-3-18-10-elmore-trege-home-elevation,"azardous wastes Structural or obstacle Demolition$$5,500.00 6,000.00 2,000.00lot Clearing & ensure ade",f
326428-01-01-12-division-of-administration-office-of,"eans Parish Sub-recipient MonitoringGRANT AMOUNT: $52,275,000 TERM: This agreement shall be for a peri",f
1154365-trapolin-architects-apc-contract-with-city-of," scope of work to be bid including soft costs was $339,147.00.The Engine 1 renovation scope includes f",t
779220-12-19-12-no-redevelopment-authority-oc-haley,"bit A4-Gentilly Woods Shopping Center Acquisition $200,000.00 andincorporate the revised budget for Ex",f
1023437-eustis-engineering-services-llc-contract-with,"sLiability Insurance will have a minimum limit of $500,000. The Consultant will requireany subcontract",f
779558-05-06-13-no-aids-taskforce-hiv-treatment,"sation payable under the Agreement is increased to$7,601,354.00 (seven million, six hundred one thousa",f
205042-3-1-08-shelter-resources-personal-care-services,"CTOR72961 RX750 2008074-22A REQUISITION NUMBERIDO $604,750.00 AMOUNTITo provide funding for housing an",f
326340-10-21-10-nora-cea-oc-haley-commercial-corridor,"nd has since committed to providing the City with $410,720,016.00 in Disaster CDBG to finance implemen",f
326340-10-21-10-nora-cea-oc-haley-commercial-corridor," and entered into to govern the transfer of up to $4,820,393.82 in Disaster CDBG funding, to the Sub-R",f
1034161-strategic-staffing-solutions-contract-with-city,"ractual liability and coverage.General Aggregate: $2,000,000Products -- Completed Operations Aggregate",f
1154056-scnz-architects-l-l-c-contract-with-city-of-new,"endment$ 62,333.00$ 24,680.21$ 87,013.21$ 92,362OO$179,37521All provisions of the aforesaid Agreement ",f
1155881-st-martin-brown-amp-associates-llp-contract-with,"ce will be purchased and maintained with limits of$1,000,000 per occurrence and $2,000,000 in the aggr",t
1157298-eustis-engineering-services-llc-contract-with,"gePage 6 of 26ComprehensiveProfessional Liability $500,000 LimitThese insurance policies maintained by",f
1146169-environ-international-corp-contract-with-city-of,"roject description, single site g. park, library, $5,000Categorically Excluded Subject etc.). No signi",f
1200798-fleming-construction-co-llc-contract-with-city,"eIiver. foran? 419 us b_ehaif as suretkfa?as its; $1 ?nd deeiwnv and ?all of these,presen:sandL1s:2aII",f
1155774-sizeler-thompson-brown-architects-contract-with,"MENT I.D. NUMBERTAX I.D. OR SOCIAL SECURITY NUMBER$2,272,012.00AMOUNTSizeler Thompson Brown Architects",f
204943-5-20-06-labor-ready-southeast-amendment-extension,"n throughthe competitive selection process is for $15,000 or less and therefore exempt _ _ has been de",f
205125-2-1-08-willard-l-dumas-jr-dental-services,ty shall compensate the Contractor at the rate of $500.00 per month. Total compensation uncleI' this a,f
1155521-the-beta-group-engineering-and-construction,"sation StatutoryPage 6 of 30Bmployer?s Liability: $100,000.00Automobile Liability Hired automobileNon-",f
166704-10-1-08-tulane-education-fund,"ne University Health Sciences Center a maximum of $394,280.00 for the period of November 01,2008 to Oc",f
323741-02-24-11-the-new-orleans-aviation-board,"ntative. The Board has also designated a furt.her $400,000 for Additional Services as defined herein, ",f
1154664-l7-architects-contract-with-city-of-new-orleans,"Liability Insurance shall have a minimum limit of $500,000. In the case of sublet,Designer shall requi",f
1060955-university-of-new-orleans-contract-with-city-of,ntractedhours will be at the License Fee rate ius $100 per hour over 30 rniriutes beyond the contracte,f
779327-04-01-13-american-assn-of-airport-execs,"E: The NOAB will pay the Contractor a lump sum of $35,000 for the servicesperformed under this Agreeme",t
1160879-vietnamese-initiative-in-economic-training,"Agree to limit all program income to no more than $25,000 or reimburse the City of NewOrleans the full",f
1160611-richard-c-lambert-consultants-llc-contract-with,"Liability Insurance shall have a minimum limit of $500,000. In the case of sublet,Designer shall requi",f
326322-09-16-11-orleans-parish-school-board-mahalia, Congress has allocated to the State of Louisiana $6.21 billion for disaster recovery in the form of a,f
779200-12-28-12-strategic-decisions-resilient-city," amount payable under this Agreement is less than $15,000;NOW TQIREFORE, the City and the Consultant a",t
1211041-guidry-amp-associates-contract-with-city-of-new,. City shall compensate Contractor at the rate of $100per hour for the performance of the Services. Ci,f
1211041-guidry-amp-associates-contract-with-city-of-new,"ed the maximlnncompensation, in the aggregate, of $70,000.00- Further, all compensation owedContractor",f
165550-2-4-10-burk-kleinpeter-inc-pedestrian-crossing,"vailable for constroction (AFC) are approximately $2,100,000. 3. The Completed Program shall be 'submi",f
1156348-no-aids-task-force-contract-with-city-of-new,"increase the amount payable under this categoryby $5,500.00 (Five thousand, five hundred dollars andvn",t
1153582-billes-architecture-llc-contract-with-city-of,"ce will be purchased and maintained with limits of$1,000,000 per occurrence and $2,000,000 in the aggr",f
1153582-billes-architecture-llc-contract-with-city-of,"ability insurance with a Combined Single Limit of $500,000;1. Owned, Non-Owned and Hired Automobiles t",f
1153582-billes-architecture-llc-contract-with-city-of,"Liability Insurance shall have a minimum limit of $500,000. In the case of sublet,Designer shall requi",f
1284273-roubion-roads-amp-streets-l-l-c-contract-with,"ecksum: C57ECC00Address: 824 Dakin St. Bid Total: $460,227.00Jaifersfm LA 770121 Items Total: $460,227",f
741469-10-30-12-evaluation-systems-for-personnel-llc,"ecret Shopper Services in anamount not--to-exceed $83,556.74 annually, at its May 17, 2012 meeting; an",f
1160460-builders-of-hope-contract-with-city-of-new,he City? shall compensate BOH up to the amount of $1 511 776.76 (the ?Grant Amount?) for costsincurred,f
1154562-pavement-markings-llc-contract-with-city-of-new,me frame willcause the Contractor to pay the City $300.00 in damages for the delay for each dayafter t,f
1660027-the-harry-tompson-center-inc-harry-thompson-ctr,"rsonal advertising injury withlimits no less than $1,000,000 per occurrence. If a general aggregate li",f
1153764-project-lazarus-contract-with-city-of-new,cordsdcxie than me ES eiinqueni in any taxes owed $0 of ihis dcne me? the is NOT de?nquent in anyshe c,f
1153580-rivera-sierra-amp-company-inc-contract-with-city,". The maximum sum payable under this Agreement is $10,000.00. The Contractorshall submit to the City a",f
167105-12-1-11-goodwill-workforce-development-programs,"nal funding to increase the compensation amountby $2,759,430 for Workforce Development programs relati",t
1159065-trapolin-architects-apc-contract-with-city-of,"anticipated construction cost ofEngine 31 (NFDO26)$500.00$ 5,700.00Total Amendment #2$160,647.00$ 3,05",f
1159065-trapolin-architects-apc-contract-with-city-of,"sic Services\"") payment shall be a lump sum feeof $323,490.00, Three Hundred Twenty Three Thousand Fou",t
1154575-kenall-inc-contract-with-city-of-new-orleans,"gePage 6 of26 ComprehensiveProfessional Liability $500,000 LimitThese insurance policies maintained by",f
166543-5-22-09-trapolin-architects-apc-nofd-engine-31,"23,490 based on the approved construction cost of $3,793,927 per the attached estimate and cost loadin",f
166543-5-22-09-trapolin-architects-apc-nofd-engine-31,"n cost of Engine 31 (NFD026) Total Amendment #2$$ $3,050.00 500.00 5.700.00$154.447.00 $160,647.00Amen",f
1155775-department-of-transportation-amp-development,"to DOTB under thisSupplemental Agreement No. 5 is $58,207.66 for additional work on Ave.?3.The DOTD an",f
1021452-jose-juan-bautista-contract-with-city-of-new,"e performance of work under this Agreementwill be $150.00 per hour, with a not to exceed amount of $15",f
166543-5-22-09-trapolin-architects-apc-nofd-engine-31,"sic Services\"") payment shaH be a lump sum fee of $323,490.00, Three Hundred Twenty Three Thousand Fou",t
1146224-state-of-louisiana-contract-with-city-of-new,"gram, as de?ned below, in the aggregate amount of $3,733,000 (the ?TotalInitiative Support?). A portio",f
163033-9-15-09-l7-architects-willie-hall-playground,"e will be purchased and maintained with limits of $1,000,000 per occurrence and $2,000,000 in the aggr",f
204817-neel-schaffer-long-term-recovery,"ed the maximum compensation, in the aggregate, of $63, I 00. Further, all compensation owed Contractor",f
1057478-200-north-llc-contract-with-city-of-new-orleans," @395 msg?u 253m Ho ?zvm95 we ?ow 05 Sm 385 @0955 $3 Em 8 dog omm??won 603%.5 $823., BE LS 3:23th ER. ",f
1154347-hms-architects-apc-contract-with-city-of-new,"ent.The Designer is liable for a delay penalty of $500 per calendar day for late submissions,deductibl",f
1154347-hms-architects-apc-contract-with-city-of-new,"ed on the Total Estimated Construction Budget of: $1,853,224.00, shallbe fixed at: One Million Eight H",f
1154347-hms-architects-apc-contract-with-city-of-new,"ic surveys foreach cemetery site shall be ?xed at $18,000.00. This fee includes a one and one tenth(1.",f
1157521-jpmorgan-chase-amp-co-contract-with-city-of-new,"draft Protection. The bank must provide a minimum $1,000,000 DaylightOverdraft Line of Credit subject ",f
1154607-fugro-consultants-contract-with-city-of-new,"roperty DamageComprehensiveProfessional Liability $500,000 LimitThese insurance policies maintained by",f
741102-07-19-12-parsons-brinckerhoff-long-term-airport,submit Reporting Forms may result in a penalty of $100 per day for each day theReporting Forms remain ,f
204925-6-1-08-pamela-j-malone-nutrition-services,"D NUMBER~IO 01 H 00)6 4 SPamela J. Malone, LDH, RD$30,000.00 To provide nutritional health and well ne",f
1049422-st-patrick-booster-club-inc-contract-with-city,"eral liability insurance in amounts not less than $1,000,000 peroccurrence and cause City to be named ",f
1156927-trapolin-architects-apc-contract-with-city-of,"ce will be purchased and maintained with limits of$1,000,000 per occurrence and $2,000,000 in the aggr",f
1200714-jefferson-parish-contract-with-city-of-new,"m ?ow,mbE?Ev< %m>Ewm.M Emuwmnc 2:Bow 3:08 Ema 53> $328 as woomoum mo somosbmmoo cam mommab c?bmucom wa",f
1021568-hard-rock-construction-contract-with-city-of-new,"id Checicsum: 456B322C6Bid 'I'otal:- Items Tntal: $382,531.70'1'in1e'I'eta1: $0.00LADOTDPage 5 0f13Let",f
1154648-new-orleans-redevelopment-authority-contract,"and has since committed toproviding the City with $410,720,0l6.00 in Disaster CDBG to ?nance implement",f
1155561-three-fold-consultants-llc-contract-with-city-of,"EMENTTOTAL$ 7,000Lump Sum$ 55,592 Lump Sum$ 10,500$21,000$ 14,000$ TBD$ 108,092Upset LimitLump SumLump",f
1160623-james-s-cripps-associates-architects-llc,"ce will be purchased and maintained with limits of$1,000,000 per occurrence and $2,000,000 in the aggr",f
1184174-hahn-enterprises-inc-contract-with-city-of-new,"RecreationDevelopment Commission, is contributing $23,450.00 toward playground resurfacing services fo",f
1160570-hahn-enterprises-inc-contract-with-city-of-new," The estimated value of Contractor?-s services is $75,000; and inE. Contractor shall cooperate with Ci",f
1153916-lee-ledbetter-amp-associates-contract-with-city," facility to house the AlgiersCourthouse Functions$2787.50$2,787.50$ 4,025.00Total Amendment #2Amendme",f
1153975-billes-architecture-llc-contract-with-city-of,"ce will be purchased and maintained with limits of$1,000,000 per occurrence and $2,000,000 in the aggr",f
1153975-billes-architecture-llc-contract-with-city-of,"ability insurance with a Combined Single Limit of $500,000;1. Owned, Non?Owned and Hired Automobiles t",f
1153975-billes-architecture-llc-contract-with-city-of,"tance of the project, whichever is later.1. Under $1,000,000 total construction value: $500,000 per cl",f
205205-11-28-07-beck-disaster-recovery,"contracts, and sub grants of amounts in excess of $100,000.J. Consultant, in the performance of the Se",f
1153856-julien-engineering-amp-consulting-inc-contract,ntrolCode:Discount %:Print DestDetail:Actual Cost:$125000.00If DifferentNoContactInstructions:Donnye B,f
1112473-global-health-rc-inc-contract-with-city-of-new,"eral liability insurance in amounts not less than $1,000,000 per occurrenceand cause City to be named ",f
1184319-council-on-alcohol-amp-drug-abuse-for-gno,"ose of service delivery.5. COMPENSATION: There is $20,000 in compensation for the City to CADA for sum",f
205066-2-6-09-department-of-public-works-dental-work,"es to resjdents of the Youth Study Center. Amount:$6~000.00Organization code :,-,3=8,,-,,1=0,--.:.;10:",f
1154178-orleans-parish-sheriffs-office-contract-with, msmaunm _.mn:mmn Ru 9.8. . .3 2.3.2.3 was: m3mn_ $5 3 was. 9.8 2.8 a no33_m$2  ?mm Bani? u_.nm3u.8 _.,f
1157211-perez-a-professional-corporation-contract-with,"1\u2022 Design Services for NORD BB Field Lighting$267,272.00Total Amendment #1Amendment # 2\u2022 Des",f
204961-5-13-08-cv-nguyen-llc-legal-services,. City shall compensate Contractor at the rate of $60.00 per hour for performing the services listed i,f
1158976-state-of-louisiana-contract-with-city-of-new,"ost of the project ?mded through thisagreement is $249,118. The Federal Highway Administration, herein",f
1051887-sidney-j-wyche-contract-with-city-of-new-orleans," of theParticipant initially occupies the unit or $50, provided that this amount does not exceed the m",f
204823-9-22-08-richard-laubert-emergency-contact-for," %: Promised Date: Tax Code: Bill-to Address:0.00%$125,000.00Nat Celestine or NOFD LogistiCS Conventio",f
1659834-professional-service-industries-municipal-yacht,"sLiability Insurance will have a minimum limit of $500,000. The Consultant will requireany subcontract",f
1155703-southeast-louisiana-legal-services-corp-contract,"ON IX - AUDIT COMPLIANCEOrganizations that expend $500,000 or more of federal funds in the organizatio",f
1051482-ecm-consultants-inc-contract-with-city-of-new,ximately ten (10) weeks.1. Total Hours: 400 Hours $57.66/Hour 2. Direct Non-salary Reimbursable Expens,f
165171-1-1-10-life-economic-development-corp,"ctor the maximum amount of Seventy-five Thousaud ($75,000.00) Dollars for services provided in conjunc",f
204840-8-7-08-punctual-abstract-co-real-estate-abstracts,"TRACTOR REQUISITION NUMBERJDOCUMENT ID NUMBER :::;$15,000.00 AMOUNT!2t::!1~tlZJSYNOPSIS: To prepare ab",f
1160372-sunex-holding-co-llc-dba-total-sentencing,"II.A.2, and to change the not to exceed amount to $3,750,000; andWHEREAS, on February 15, 2009, the pa",f
779190-11-01-12-cox-citywide-wan-installation,t 10 29 $0.00 60 New $0.00Cox Metro Ethernet 20 8 $0.00 60 New $0.00Cox Metro Ethernet 50 1 $0.00 60 N,f
779190-11-01-12-cox-citywide-wan-installation,net 1 2 $0.00 60 New $0.00Cox Metro-E - Instail 1 $0.00 $0.00Cox Metro-E - Instati 1 $0.00 $0.00Cox Me,f
779190-11-01-12-cox-citywide-wan-installation,E - Instai! 1 $0.00 $0.00Cox Metro-E -- Instali 1 $0.00 $0.00Equipment Description Quantity Unit Price,f
779190-11-01-12-cox-citywide-wan-installation,"Total FooTotals for OF NEW ORLEANS (Parent): MRC: $0.00 NRC: $0.00 Equipment Cost\"": $0.00Service Addr",f
1156402-laporte-sehrt-romig-hand-certified-public,": The maximum sum payable under this Amendment is $75,000.00. The total feespayable under the Agreemen",t
1154052-united-states-postal-service-contract-with-city,ervice will pay the Landlord an annual rental of: $87.46 (Eighty Seven and 46/100 Dollars)payable in e,f
1155729-fugro-consultants-contract-with-city-of-new,"Page 6 of 32ComprehensiveProfessional Liability . $500,000 LimitThese insurance policies maintained by",f
1155729-fugro-consultants-contract-with-city-of-new,"ew of contractor?submitted, iob-mix formula, each $82.00A12 Atterberg iimits, material passing No. 4 s",f
205219-11-14-08-julien-engineering-amp-consulting-inc,"ed the maximum compensation, in the aggregate, of $61,160.00. Further, all compensation owed Contracto",f
1146053-world-war-ii-theatre-inc-contract-with-city-of,"ration of Seven Hundred NinetyDollars and Nol100 ($790.00) (\""Annual Rent\""), payable each year in adv",f
1155615-eskew-dumez-ripple-apc-contract-with-city-of-new,"through the competitive selection process- is for $15,000 or less and therefore exempt- has been decla",f
204948-5-2-11-ramelli-janitorial-services-median,". The maximum sum payable under this Amendment is $912,000.3. The parties to this agreement reaffirm t",t
149714-5-9-07-meltwater-news-electronic-news-monitoring,"ES: The City will pay the Contractor the amount of$10,000 to perform specified services. 3. TERM: The ",t
1156080-audy-ryes-contract-with-city-of-new-orleans,"ty shall compensate the Contractor at the rate of $40.00 per hour with a23minimum of 2 hours per week,",f
1155724-digital-engineering-amp-imaging-inc-contract,"erti?ed 64Inspector 53GOTECH, Inc. (sub)Principal $188Supervisor Engineer $163Engineer $14611Contract ",f
166953-11-9-09-urban-systems-associates-inc-streetscaping,"construction documents revision a lump sum fee of $5,400.00; Task II - a cost plus amount with a maxim",t
165712-3-2-11-early-childhood-and-family-learning,"ent of this Sub-Lease, a payment in the amount of $4,576.00 shall be made on a per month basis by Sub-",f
1033462-responsibility-house-contract-with-city-of-new,"CTION - AUDIT COMPLIANCEOrganizations that expend $500,000 or more of federal funds in the organizatio",f
1160438-childrens-hospital-contract-with-city-of-new,"his agreement up to a maximum amount not to exceed$295,633.00 (Two hundred ninety five thousand, six h",f
1679838-bike-easy-bike-easy-wisner-cea,"rsonal advertising injury withlimits no less than $1,000,000 per occurrence. if a general aggregate li",f
1155376-environmental-protection-agency-contract-with,"vironmentalProtection Agency (EPA), hereby awards $113,570. EPA agrees to cost-share 100.00% of all ap",f
725572-07-01-11-new-orleans-council-on-aging-services,"GA) reflecting such disparity.ff)?    Page 2 of 16$54,890-00 IPROJECTED CEJNG OF FEDERAL AND STATE FUN",f
205089-2-26-09-byron-j-stewart-and-associates,"Liability Insurance shall have a minimum limit of $500,000 per accident. In the case of sublet, Design",f
1155767-newcorp-inc-contract-with-city-of-new-orleans,le foreligible economic development projects.With $1 million in EDP funds provided by the City under t,f
741448-06-29-12-urs-corporation-airport-environmental,"er obligations under a Work Authorization, exceed $250,000 or ten percent of thecompensation paid Cons",f
779168-01-10-13-johnson-controls-inc-airport-security,submit Reporting Forms may result in a penalty of $100 per day for each day theReporting Forms remain ,f
204832-9-1-08-eskew-dunez-and-ripple-crescent-city-park,"rough the competitive selection process __ is for $15,000 or less and therefore exempt __ has been dec",f
204868-7-8-08-scairono-martinez-architects-apc-engine-10," NUMBERScairono Martinez Architects, APCCONTRACTOR$21,980.00AMOUNTEngine 10SYNOPSISJuly 8, 2008BEGIN D",f
779252-02-22-13-duplantier-hrapman-hogan-amp-maher,"eral liability insurance in amounts not lessthan. $1,000,000 per occurrence.2. The Contractor will pro",f
1154366-the-beta-group-engineering-and-construction,"perty DamageComprehensiveProfessional Liability . $500,000 LimitThese insurance policies maintained by",f
1154366-the-beta-group-engineering-and-construction,"ew of contractor-submitted, job-mix formula, each $82.00A12 Atterberg iimits, material passing No. 4 s",f
1154366-the-beta-group-engineering-and-construction,"CertifiedA13 Asphaltic Concrete Plant Technician) $1 -1 0Using the services of ticket writer, when nec",f
779225-05-31-13-entergy-new-orleans-right-of-way,am>> ownomm 2. 32% M539. nofigmbmommow nos. om mm $5 983. EoE&mm.v8 :2 mama 8. Exam. fiosammu nmomm 2.,f
1153736-daka-properties-llc-contract-with-city-of-new,00 00.0.0 E5000 0.05.0.25 002$ 0300 50300 .023. 3 $00 02.0 .3020.300 .0000 00005: 000 93 3 000.0 50005,f
1155769-professional-service-industries-contract-with,"kers? Compensation StatutoryEmployer?s Liability: $100,000.00Automobile Liability Hired automobileNon?",f
779276-02-18-13-metro-source-airport-dbe-consulting,"mage, bodily injury and/or death of not less than $1,000,000.00, for Consultant (andsub--consultants).",f
1659764-new-orleans-redevelopment-authority-lama-cea,"ethousand, ?ve hundred and eleven dollars and 00 ($221,131 1.00); andWHEREAS, the City shall allow NOR",f
1153557-concentra-medical-centers-contract-with-city-of,t WANDA SIMON at (504)658- Tax Rate: Actual Cost: $0.00Instructions: 3505Print Format:PurchasingRequis,f
326432-01-03-12-cea-friends-of-danneel-park-and-planet,"Liability Insurance shall have a minimum limit of $1,000,000 per accident or injury. In the case of an",f
1153989-begue-amp-associates-inc-contract-with-city-of," ES, mmo?omwe mwoon out?ow o??ommsm 93 w?msoa was $833 8 mo?mow 35 our wasmmnou?swom REEL OUOU 08 ah?m",f
779267-03-13-13-lakeview-veterinary-hospital-nopd,8%88 >Box._ow__3 Omvmamm moo go mm Pom 39.. 3.3 3 $8 03353 mm awe .3 3.8 3 3.8.3momm >::Bcm Go go mm m,f
779267-03-13-13-lakeview-veterinary-hospital-nopd,3o-mo-3wmam >:m8wm U83 .833 woam mm No.3 a moi: 3 $3 So mm o.oo 8.8 3 S-mm-3~mom>> >8.Eom .moo3o\\3_ m,f
1112629-southwest-airlines-co-contract-with-city-of-new,PITAL PROGRAM.. mzni .3392 nee?mam PL 8 Irenew .0 $63.88 xx 2 nc?ca. ac?sah wmuefau 2 <3 .   55$ .rmOn,f
323736-01-01-11-gilbert-buras-jr-professional-legal,"s performed under this agreement shall not exceed $133,500, adding $33,000. Both parties to this amend",f
1155601-three-fold-consultants-llc-contract-with-city-of,"eral liability insurance in amounts not less than $1,000,000 peroccurrence.Page 9 of 19 ARTICLE XIINOT",f
1155601-three-fold-consultants-llc-contract-with-city-of,"oned project. Theestimated cost of the project is $10,500,000.00._____________________________________",f
1155287-linfield-hunter-amp-junius-inc-contract-with,"y SurveyGeotechnical InvestigationTotal Amendment$$14,483.287,560.00$27,643.28and:NOW, THEREFORE, for ",f
1034145-municipal-yacht-harbor-management-corporation,m am? 8 floor o<Q. man 5 En Emfloam om mnmmowfl 8 $6 mwomow. mndofiaom. maowmu mum Ezsmm qeoaam: com: ,f
1034145-municipal-yacht-harbor-management-corporation,w?mflaa U95 mum mo mom>> wosabm on 90 ?mflon 25 mo$2 3 _obm.E Wong Ea mnoafi mflo cosdmmar :5 8330: co,f
775177-12-12-12-the-beta-company-construction-materials,"sLiability Insurance will have a minimum limit of $500,000. The Consultant will requireany subcontract",f
326436-01-12-12-ryan-white-no-aids-task-force-health,"ncrease the amount payable under this category by $659,499.00 (Six hundred fifty nine thousand, four h",f
779150-01-23-13-imre-hegedus-amp-associates-nopd-7th,"heretoagree as follows:The Original Agreement Sum $141,555.00Net Change by Previous Amendments $430,19",t
1160442-compass-group-inc-contract-with-city-of-new,": The maximum sum payable under this Agreement is $15,000. As a prerequisite topayment, eonneerion  wi",f
